epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7237,1.64072,3.01612,1.49818,0.47938,0.28298,0.28528,0.12534,1.89257,2.00699,1.60745,0.000237635,0.000237635,0.000237635
2,101.056,1.48766,1.95326,1.41747,0.54586,0.34958,0.37145,0.17359,1.84784,1.69156,1.54482,0.000428547,0.000428547,0.000428547
3,139.991,1.4327,1.7253,1.38073,0.48536,0.42879,0.41605,0.19076,1.7527,1.57924,1.50602,0.000572335,0.000572335,0.000572335
4,176.443,1.38096,1.63694,1.35091,0.59724,0.4073,0.43818,0.20302,1.78398,1.65818,1.52263,0.000501942,0.000501942,0.000501942
5,212.261,1.32987,1.53027,1.33318,0.60225,0.46046,0.46321,0.22647,1.65336,1.75969,1.41636,0.000431256,0.000431256,0.000431256
6,249.673,1.29457,1.44366,1.3005,0.59143,0.43388,0.45593,0.22485,1.72462,1.55928,1.47181,0.00036057,0.00036057,0.00036057
7,286.552,1.26386,1.39495,1.29402,0.65375,0.46199,0.50292,0.24399,1.68851,1.50616,1.43311,0.000289884,0.000289884,0.000289884
8,323.467,1.24009,1.33889,1.27523,0.66139,0.49505,0.52399,0.26606,1.63495,1.33749,1.39851,0.000219198,0.000219198,0.000219198
9,358.482,1.2139,1.28437,1.25157,0.67722,0.5101,0.53298,0.27979,1.6401,1.30149,1.38241,0.000148512,0.000148512,0.000148512
10,395.127,1.18791,1.25133,1.24048,0.68267,0.51342,0.54199,0.28977,1.56555,1.24928,1.3426,7.7826e-05,7.7826e-05,7.7826e-05
